Date,Open,High,Low,Close,Adj Close,Volume,SENTIMENT,RBA,FED
4/01/2022,102,102.82,101.300003,102.510002,100.706886,2195465,POSITIVE,0.05,0.08
5/01/2022,103.279999,103.480003,102.620003,103.199997,101.384743,2086996,NEGATIVE,0.05,0.08
6/01/2022,102.800003,103.129997,99.779999,99.970001,98.211563,2603548,POSITIVE,0.05,0.08
7/01/2022,101.989998,102.870003,101.889999,102.650002,100.844421,2596039,POSITIVE,0.05,0.08
10/01/2022,102.870003,103.32,102.080002,103.32,101.502632,1467407,NEGATIVE,0.05,0.08
11/01/2022,102.519997,102.889999,100.620003,101.760002,99.970078,2346000,NEGATIVE,0.05,0.08
12/01/2022,102.150002,102.480003,100.82,101.580002,99.793243,1557284,POSITIVE,0.05,0.08
13/01/2022,101.900002,102.440002,101.690002,102.120003,100.323746,1639007,NEGATIVE,0.05,0.08
14/01/2022,101.760002,102.650002,100.5,100.849998,99.07608,2155504,POSITIVE,0.05,0.08
17/01/2022,101.849998,101.849998,100.809998,101.160004,99.38063,1467142,NEGATIVE,0.05,0.08
18/01/2022,101,101.230003,100.599998,100.790001,99.017136,1264465,NEGATIVE,0.05,0.08
19/01/2022,100.389999,100.629997,98.830002,99.330002,97.582817,2638102,NEGATIVE,0.05,0.08
20/01/2022,98.139999,99.050003,97.650002,98.610001,96.875481,2895501,NEGATIVE,0.05,0.08
21/01/2022,97.809998,98.309998,97.010002,97.370003,95.657295,3593016,POSITIVE,0.05,0.08
24/01/2022,97,98.07,96.699997,97.440002,95.726067,1889354,NEGATIVE,0.05,0.08
25/01/2022,96.709999,97.150002,93.870003,95.449997,93.771065,5802823,NEGATIVE,0.05,0.08
27/01/2022,96.050003,97.82,93.010002,93.779999,92.13044,5359270,POSITIVE,0.05,0.08
28/01/2022,94.760002,96.010002,92.370003,95.669998,93.98719,13796397,NEGATIVE,0.05,0.08
31/01/2022,95.010002,95.230003,93.739998,93.739998,92.091141,3146452,POSITIVE,0.05,0.08
1/02/2022,94.150002,94.989998,93.220001,93.93,92.277802,2611835,POSITIVE,0.05,0.08
2/02/2022,94.5,95.07,94.220001,94.739998,93.073547,2078320,NEGATIVE,0.05,0.08
3/02/2022,93.5,94.889999,92.610001,93.440002,91.796425,3331673,POSITIVE,0.05,0.08
4/02/2022,92.940002,94.099998,92.82,94.099998,92.444809,3237852,NEGATIVE,0.05,0.08
7/02/2022,93.400002,94.209999,92.440002,94,92.346573,3137168,POSITIVE,0.05,0.08
8/02/2022,93.07,94.629997,92.949997,94.300003,92.641296,2890934,POSITIVE,0.05,0.08
9/02/2022,99.010002,99.889999,97.910004,99.559998,97.808769,5436704,POSITIVE,0.05,0.08
10/02/2022,100,100.779999,98.639999,100.779999,99.007309,4167883,NEGATIVE,0.05,0.08
11/02/2022,99.419998,100.18,98.330002,98.550003,96.816536,3457229,POSITIVE,0.05,0.08
14/02/2022,98.300003,100.510002,98.199997,100.040001,98.280327,2578374,NEGATIVE,0.05,0.08
15/02/2022,99.080002,100.349998,98.93,99.489998,97.739998,2667416,POSITIVE,0.05,0.08
16/02/2022,98.410004,98.82,97.540001,98.57,98.57,3647780,POSITIVE,0.05,0.08
17/02/2022,98.589996,99.309998,98.139999,98.809998,98.809998,2591681,NEGATIVE,0.05,0.08
18/02/2022,98,98.580002,97.410004,97.75,97.75,2361575,POSITIVE,0.05,0.08
21/02/2022,96.949997,98.339996,96.239998,98.089996,98.089996,1968627,NEGATIVE,0.05,0.08
22/02/2022,96.360001,96.830002,95.050003,96.040001,96.040001,2688137,POSITIVE,0.05,0.08
23/02/2022,96.040001,96.949997,95.809998,96.690002,96.690002,2267917,NEGATIVE,0.05,0.08
24/02/2022,95.919998,96.220001,94.440002,94.709999,94.709999,3504427,NEGATIVE,0.05,0.08
25/02/2022,95.620003,95.900002,93.529999,93.879997,93.879997,4902678,NEGATIVE,0.05,0.08
28/02/2022,94.279999,94.940002,92.540001,93.459999,93.459999,10046963,POSITIVE,0.05,0.08
1/03/2022,94.010002,96.235001,93.889999,94.82,94.82,2320712,NEGATIVE,0.05,0.08
2/03/2022,92.589996,95.199997,92.589996,94.699997,94.699997,3049670,NEGATIVE,0.05,0.08
3/03/2022,95.260002,95.449997,94.139999,94.510002,94.510002,4427098,POSITIVE,0.05,0.08
4/03/2022,94.800003,95.050003,93.459999,94.599998,94.599998,3169612,POSITIVE,0.05,0.08
7/03/2022,94.25,94.849998,93.650002,94.639999,94.639999,3315111,POSITIVE,0.05,0.08
8/03/2022,94.599998,96.239998,94.410004,95.589996,95.589996,3711886,POSITIVE,0.05,0.08
9/03/2022,95.25,97.790001,94.879997,97.410004,97.410004,2627749,POSITIVE,0.05,0.08
10/03/2022,98.25,99.919998,98.099998,99.739998,99.739998,3458497,NEGATIVE,0.05,0.08
11/03/2022,98.709999,100.105003,98.629997,99.379997,99.379997,3634352,POSITIVE,0.05,0.08
14/03/2022,100.330002,102.080002,100.099998,102,102,3220955,POSITIVE,0.05,0.08
15/03/2022,102.550003,103.800003,102.300003,103.779999,103.779999,3188234,POSITIVE,0.05,0.08
16/03/2022,104.309998,104.790001,103.730003,104.760002,104.760002,2869840,POSITIVE,0.05,0.08
17/03/2022,107,107,105.279999,106.150002,106.150002,3996962,POSITIVE,0.05,0.08
18/03/2022,105.739998,106.290001,105.099998,106.290001,106.290001,6310578,NEGATIVE,0.05,0.08
21/03/2022,106.290001,107.349998,105.699997,105.699997,105.699997,2217058,POSITIVE,0.05,0.08
22/03/2022,106.900002,107.300003,106.07,106.07,106.07,1773598,POSITIVE,0.05,0.08
23/03/2022,106.629997,107.459999,106.43,107.449997,107.449997,1705322,NEGATIVE,0.05,0.08
24/03/2022,106.349998,107.349998,106.25,107.349998,107.349998,1676029,NEGATIVE,0.05,0.08
25/03/2022,107.290001,107.769997,105.919998,105.919998,105.919998,2925283,POSITIVE,0.05,0.08
28/03/2022,106.980003,107.040001,106,106.139999,106.139999,1280146,POSITIVE,0.05,0.08
29/03/2022,106.449997,107.099998,106.269997,106.370003,106.370003,1579916,POSITIVE,0.05,0.08
30/03/2022,106.980003,107.540001,106.489998,107.07,107.07,1735594,NEGATIVE,0.05,0.08
31/03/2022,107.199997,107.339996,105.769997,105.769997,105.769997,3259035,NEGATIVE,0.05,0.08
1/04/2022,105.769997,106.129997,104.519997,104.529999,104.529999,2047994,NEGATIVE,0.05,0.08
4/04/2022,104.790001,105.239998,103.720001,103.720001,103.720001,1542723,POSITIVE,0.05,0.08
5/04/2022,104.07,104.849998,103.839996,104.360001,104.360001,1304088,POSITIVE,0.05,0.08
6/04/2022,104.040001,105.790001,103.760002,105.709999,105.709999,1879653,NEGATIVE,0.05,0.08
7/04/2022,105.019997,105.559998,104.639999,105.239998,105.239998,1347251,POSITIVE,0.05,0.08
8/04/2022,105.650002,105.699997,104.900002,105.379997,105.379997,1740982,POSITIVE,0.05,0.08
11/04/2022,105.800003,107.120003,105.75,106.879997,106.879997,1515505,NEGATIVE,0.05,0.08
12/04/2022,106.790001,107.080002,106,106.709999,106.709999,1334658,NEGATIVE,0.05,0.08
13/04/2022,106.550003,106.900002,106.080002,106.550003,106.550003,1479813,NEGATIVE,0.05,0.08
14/04/2022,105.910004,107.105003,105.830002,106.5,106.5,1393778,NEGATIVE,0.05,0.08
